log_file,run_id,model,version,timestamp,seed,puzzles_attempted,puzzles_solved,solve_rate,total_guesses,correct_guesses,incorrect_guesses,invalid_responses,guess_accuracy,avg_time_sec,total_time_sec,total_tokens,total_prompt_tokens,total_completion_tokens,token_count_method,total_cost,total_upstream_cost,start_timestamp,end_timestamp
,2025-12-20T01-18-36_step3,stepfun-ai/step3,2.0.2,2025-12-20T01:18:36.656134+00:00,,8,0,0.0,1,1,0,0,1.0,107.54725,860.378,7820.0,564.0,7256.0,API,0.0053125,0.0,2025-12-20T01:18:36.656134+00:00,2025-12-20T01:25:46.857409+00:00
,2025-12-20T01-18-27_nova-pro,amazon/nova-pro-v1,2.0.2,2025-12-20T01:18:27.254189+00:00,,20,1,0.05,90,13,76,1,0.14444444444444443,23.305799999999998,466.116,187226.0,144350.0,42876.0,API,0.1263416,0.0,2025-12-20T01:18:27.254189+00:00,2025-12-20T01:19:07.696233+00:00
,2025-12-20T01-18-06_command-r-plus,unknown,2.0.2,2025-12-20T01:18:06.508923+00:00,,16,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,API,0.0,0.0,2025-12-20T01:18:06.508923+00:00,2025-12-20T01:19:12.399327+00:00
,2025-12-20T01-18-00_mistral-large,mistralai/mistral-large,2.0.2,2025-12-20T01:18:00.133598+00:00,,20,1,0.05,99,23,76,0,0.23232323232323232,117.54690000000001,2350.938,422734.0,294758.0,127976.0,API,0.6786860000000001,0.0,2025-12-20T01:18:00.133598+00:00,2025-12-20T01:20:52.051804+00:00
,2025-12-20T01-17-42_llama-3.3,meta-llama/llama-3.3-70b-instruct,2.0.2,2025-12-20T01:17:42.775708+00:00,,20,1,0.05,97,19,77,1,0.1958762886597938,101.37440000000001,2027.488,180010.0,139950.0,40060.0,API,0.026777154,0.0,2025-12-20T01:17:42.775708+00:00,2025-12-20T01:20:13.804617+00:00
,2025-12-20T01-17-29_o4-mini,openai/o4-mini,2.0.2,2025-12-20T01:17:29.848072+00:00,,20,19,0.95,97,78,19,0,0.8041237113402062,426.7464,8534.928,1170248.0,97702.0,1072546.0,API,0.0,2.4133373000000007,2025-12-20T01:17:29.848072+00:00,2025-12-20T01:31:26.815247+00:00
,2025-12-20T01-17-14_o3-mini,openai/o3-mini,2.0.2,2025-12-20T01:17:14.148723+00:00,,20,14,0.7,100,64,35,1,0.64,316.6442,6332.884,865250.0,109294.0,755956.0,API,0.0,1.7232149000000003,2025-12-20T01:17:14.148723+00:00,2025-12-20T01:26:19.156327+00:00
,2025-12-19T01-20-54_haiku-4.5,anthropic/claude-haiku-4.5,2.0.2,2025-12-19T01:20:54.786396+00:00,,20,16,0.8,94,70,24,0,0.7446808510638298,74.789,1495.78,499774.0,345716.0,154058.0,API,0.5580030000000001,0.0,2025-12-19T01:20:54.786396+00:00,2025-12-19T01:23:17.732309+00:00
,2025-12-19T01-14-30_opus-4.5,anthropic/claude-opus-4.5,2.0.2,2025-12-19T01:14:30.221800+00:00,,20,20,1.0,88,80,8,0,0.9090909090909091,96.98339999999999,1939.668,362640.0,263256.0,99384.0,API,1.9004400000000004,0.0,2025-12-19T01:14:30.221800+00:00,2025-12-19T01:16:51.042845+00:00
,2025-12-19T01-12-19_gpt5.2,openai/gpt-5.2,2.0.2,2025-12-19T01:12:19.626344+00:00,,20,20,1.0,83,80,3,0,0.963855421686747,84.0761,1681.522,156078.0,73602.0,82476.0,API,0.0,0.6417337499999999,2025-12-19T01:12:19.626344+00:00,2025-12-19T01:15:01.988211+00:00
